"player","season","team","s_c","pos","gp","g","a","p","x","pim","p_gp","evg","evp","ppg","ppp","shg","shp","otg","gwg","s","s_percent","toi_gp","fow_percent"
"Nick Seeler",20212022,"PHI","L","D",27,0,0,0,-2,22,0,0,0,0,0,0,0,0,0,20,0,"12:56",NA
"T.J. Tynan",20212022,"LAK","R","C",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,"10:51",46.2
"Steven Fogarty",20212022,"BOS","R","C",2,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,2,0,"10:24",41.2
"Kyle Rau",20212022,"MIN","L","C",5,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,3,0,"8:49",50
"Rocco Grimaldi",20212022,"NSH","R","R",7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,"10:56",66.7
"Brett Ritchie",20212022,"CGY","R","R",21,0,0,0,-5,21,0,0,0,0,0,0,0,0,0,35,0,"9:23",0
"Sven Baertschi",20212022,"VGK","L","L",1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,"13:54",NA
"Stefan Noesen",20212022,"CAR","R","R",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,"14:20",NA
"Seth Griffith",20212022,"EDM","R","C",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,"5:37",NA
"Kurtis Gabriel",20212022,"CHI","R","R",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"6:02",NA
"Stefan Matteau",20212022,"COL","L","C",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"3:39",NA
"Danny O'Regan",20212022,"ANA","R","C",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"18:32",44.4
"Paul LaDue",20212022,"NYI","R","D",1,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,1,0,"12:47",NA
"Riley Barber",20212022,"DET","R","R",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,"6:08",NA
"Scott Sabourin",20212022,"OTT","R","R",4,0,0,0,-1,7,0,0,0,0,0,0,0,0,0,3,0,"6:00",100
"Tyler Lewington",20212022,"BOS","R","D",2,0,0,0,-1,7,0,0,0,0,0,0,0,0,0,2,0,"12:27",NA
"Jonny Brodzinski",20212022,"NYR","R","C",5,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,0,"8:43",33.3
"Hudson Fasching",20212022,"ARI","R","R",7,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,"8:39",100
"Mason Geertsen",20212022,"NJD","L","D",12,0,0,0,-4,43,0,0,0,0,0,0,0,0,0,4,0,"7:06",NA
"Remi Elie",20212022,"TBL","L","L",1,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,2,0,"10:57",NA
"Dillon Heatherington",20212022,"OTT","L","D",9,0,0,0,-1,7,0,0,0,0,0,0,0,0,0,4,0,"12:20",NA
"Carl Dahlstrom",20212022,"TOR","L","D",1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,NA,"12:30",NA
"Justin Bailey",20212022,"VAN","R","R",14,0,0,0,-5,6,0,0,0,0,0,0,0,0,0,16,0,"9:05",0
"Madison Bowey",20212022,"VAN","R","D",2,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,NA,"15:44",NA
"Frederik Gauthier",20212022,"NJD","L","C",8,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,4,0,"11:06",44
"Dakota Mermis",20212022,"MIN","L","D",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,"13:54",NA
"Brandon Baddock",20212022,"MTL","L","L",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"8:24",NA
"Michael Dal Colle",20212022,"NYI","L","L",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,"14:34",NA
"Ryan MacInnis",20212022,"BUF","L","C",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"10:00",NA
"Chase DeLeo",20212022,"NJD","L","C",2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,"8:09",0
"Austin Poganski",20212022,"WPG","R","R",9,0,0,0,-2,5,0,0,0,0,0,0,0,0,0,6,0,"9:59",NA
"Clark Bishop",20212022,"OTT","L","C",7,0,0,0,-4,6,0,0,0,0,0,0,0,0,0,6,0,"8:06",60
"CJ Suess",20212022,"WPG","L","L",3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NA,"5:43",50
"Anthony Angello",20212022,"PIT","R","R",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"5:19",NA
"Darren Raddysh",20212022,"TBL","R","D",2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,"11:26",NA
"A.J. Greer",20212022,"NJD","L","L",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,"8:32",0
"Brendan Guhle",20212022,"ANA","L","D",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,"13:42",NA
"Glenn Gawdin",20212022,"CGY","R","C",2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,"9:15",27.3
"Noah Juulsen",20212022,"VAN","R","D",5,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,3,0,"14:16",NA
"Guillaume Brisebois",20212022,"VAN","L","D",1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,NA,"4:13",NA
"Blake Speers",20212022,"ARI","R","C",2,0,0,0,-3,2,0,0,0,0,0,0,0,0,0,1,0,"9:10",54.6
"Kevin Stenlund",20212022,"CBJ","R","C",3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,"7:32",100
"Christian Jaros",20212022,"NJD","R","D",11,0,0,0,-4,2,0,0,0,0,0,0,0,0,0,9,0,"11:01",NA
"Brett Seney",20212022,"TOR","L","L",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"7:01",0
"Kole Sherwood",20212022,"NSH","R","R",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"8:08",NA
"Dan Renouf",20212022,"DET","L","D",4,0,0,0,-2,7,0,0,0,0,0,0,0,0,0,3,0,"14:00",NA
"Joey Anderson",20212022,"TOR","R","R",4,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,8,0,"7:47",NA
"Maxime Lajoie",20212022,"CAR","L","D",5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,"12:32",NA
"Wade Allison",20212022,"PHI","R","R",1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,"8:16",NA
"Markus Niemelainen",20212022,"EDM","L","D",7,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,3,0,"14:00",NA
"Olli Juolevi",20212022,"FLA","L","D",9,0,0,0,1,2,0,0,0,0,0,0,0,0,0,9,0,"12:31",NA
"Riley Tufte",20212022,"DAL","L","L",5,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,"7:19",50
"Tim Gettinger",20212022,"NYR","L","L",5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,"9:35",NA
"Max Jones",20212022,"ANA","L","L",2,0,0,0,-1,15,0,0,0,0,0,0,0,0,0,2,0,"9:54",50
"Connor Bunnaman",20212022,"PHI","L","C",11,0,0,0,-4,2,0,0,0,0,0,0,0,0,0,9,0,"9:46",56.1
"Sean Day",20212022,"TBL","L","D",2,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,2,0,"10:43",NA
"Jacob MacDonald",20212022,"COL","L","D",7,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,11,0,"8:43",NA
"Anthony Greco",20212022,"NYR","R","R",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,"9:44",NA
"Mikhail Maltsev",20212022,"COL","L","L",18,0,0,0,-5,2,0,0,0,0,0,0,0,0,0,23,0,"8:04",57.9
"Rhett Gardner",20212022,"DAL","L","C",4,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,NA,"8:06",45.5
"Chase Priskie",20212022,"FLA","R","D",4,0,0,0,2,2,0,0,0,0,0,0,0,0,0,4,0,"14:00",NA
"Jeremy Davies",20212022,"NSH","L","D",1,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,3,0,"12:30",NA
"Michael Carcone",20212022,"ARI","L","L",1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,4,0,"10:27",NA
"Kristians Rubins",20212022,"TOR","L","D",3,0,0,0,-2,4,0,0,0,0,0,0,0,0,0,5,0,"11:45",NA
"Mason Shaw",20212022,"MIN","L","C",2,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,3,0,"8:54",33.3
"Conor Timmins",20212022,"ARI","R","D",6,0,0,0,-6,0,0,0,0,0,0,0,0,0,0,5,0,"17:45",NA
"Cale Fleury",20212022,"SEA","R","D",2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,"12:59",NA
"Jaret Anderson-Dolan",20212022,"LAK","L","C",2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,"12:24",56.3
"Cody Glass",20212022,"NSH","R","C",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,"12:19",26.9
"Isaac Ratcliffe",20212022,"PHI","L","L",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,"8:15",NA
"Aleksi Heponiemi",20212022,"FLA","L","C",4,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,5,0,"12:40",40
"Dmitri Samorukov",20212022,"EDM","L","D",1,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,NA,"2:28",NA
"Jack Rathbone",20212022,"VAN","L","D",9,0,0,0,-5,2,0,0,0,0,0,0,0,0,0,10,0,"13:49",NA
"Pierre-Olivier Joseph",20212022,"PIT","L","D",4,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,7,0,"18:14",NA
"Scott Reedy",20212022,"SJS","R","C",5,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,2,0,"10:27",30
"C.J. Smith",20212022,"CAR","L","L",1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,NA,"9:22",NA
"Fabian Zetterlund",20212022,"NJD","R","L",3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,"6:35",100
"Johnathan Kovacevic",20212022,"WPG","R","D",3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,7,0,"11:25",NA
"Jakub Galvas",20212022,"CHI","L","D",3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,"20:09",NA
"Ben Jones",20212022,"VGK","L","C",2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,"8:03",NA
"Alexei Toropchenko",20212022,"STL","L","R",5,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,7,0,"9:23",0
"Wyatt Kalynuk",20212022,"CHI","L","D",5,0,0,0,-3,2,0,0,0,0,0,0,0,0,0,1,0,"12:00",NA
"Grant Hutton",20212022,"NYI","R","D",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,"15:16",NA
"Sheldon Dries",20212022,"VAN","L","C",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"9:35",33.3
"Alexander True",20212022,"SEA","L","C",8,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,6,0,"8:15",44.4
"Joey Keane",20212022,"CAR","R","D",1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,"13:38",NA
"Mattias Samuelsson",20212022,"BUF","L","D",8,0,0,0,-1,4,0,0,0,0,0,0,0,0,0,8,0,"18:59",NA
"Nicolas Beaudin",20212022,"CHI","L","D",2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,"6:10",NA
"Martin Kaut",20212022,"COL","R","R",6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,"8:49",NA
"Alexander Alexeyev",20212022,"WSH","L","D",1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NA,"10:35",NA
"Grigori Denisenko",20212022,"FLA","R","L",1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,"15:30",NA
"Sampo Ranta",20212022,"COL","L","L",10,0,0,0,-4,2,0,0,0,0,0,0,0,0,0,9,0,"10:54",50
"Ty Dellandrea",20212022,"DAL","R","C",1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,"10:37",33.3
